level	id	parent_id	name
process_1	1		БУиНУ
process_1	2		Управление персоналом
process_2	1	1	Учет расчетов с поставщиками и подрядчиками и прочими кредиторами
process_2	2	1	Учет расчетов с покупателями и заказчиками и прочими дебиторами
process_2	3	1	Автоматизация бухгалтерского и налогового учета
process_2	4	1	Осуществление платежей, учет банковских операций, прочие казначейские операции
process_2	5	1	Учет кассовых операций
process_2	6	1	Учет затрат и формирование себестоимости продукции (работ, услуг)
process_2	7	1	Учет затрат и формирование себестоимости при осуществлении торговой деятельности
process_2	8	1	Учет капитала, нераспределенной прибыли
process_2	9	1	Учет расчетов с персоналом
process_2	10	1	Учет финансовых вложений/кредитов и займов
process_2	11	1	Учет КВ, ОС и НМА
process_2	12	1	Учет запасов
process_2	13	1	Методологическая поддержка и ведение баз данных
process_2	14	1	Учет прочих доходов и расходов (сч 91)
process_2	15	1	Закрытие периода и формирование отчетности
process_2	16	1	Формирование оценочных резервов и обязательств
process_2	17	1	Учет результатов инвентаризаций и сверки с контрагентами
process_2	18	1	Учет затрат обслуживающих производств и хозяйств
process_2	19	1	Налоговый учет
process_2	20	1	Учет расчетов с подотчетными лицами
process_2	21	2	Отчетность
process_2	22	2	Вознаграждение и мотивация персонала
process_2	23	2	Обучение и развитие персонала
process_2	24	2	Подбор персонала
process_2	25	2	Планирование и учет рабочего времени
process_2	26	2	Администрирование персонала
process_2	27	2	Организационный менеджмент
process_2	28	2	Проектная работа и разработка методологии
process_2	29	2	Бюджетирование
process_2	30	2	Правовая поддержка
process_2	31	2	Дополнительные функции
process_3	1	1	Учет приобретения работ и услуг
process_3	2	1	Учет авансов выданных
process_3	3	1	Учет расходов будущих периодов
process_3	4	1	Учет прочих операций (включая проведение взаимозачета обязательств, претензионную работу, пр.)
process_3	5	1	Учет расчетов с прочими кредиторами
process_3	6	1	Прочее по участку расходов и расчетов с кредиторами
process_3	7	2	Учет реализации работ и услуг (в т.ч. расчеты на внутреннем рынке, экспорт, комиссионным/агентским схемам)
process_3	8	2	Прочее по участку доходов и расчетов с дебиторами
process_3	9	2	Учет реализации товаров
process_3	10	2	Учет реализации ГП (в т.ч. расчеты на внутреннем рынке, экспорт, комиссионным/агентским схемам)
process_3	11	2	Учет прочей реализации (в т.ч. ОС, МПЗ)
process_3	12	2	Учет авансов полученных
process_3	13	2	Учет Доходов будущих периодов
process_3	14	2	Учет прочих операций (включая проведение взаимозачета обязательств, претензионную работу, операции факторинга, пр.)
process_3	15	2	Учет расчетов с прочими дебиторами
process_3	16	2	Учет списания безнадежных долгов
process_3	17	3	Автоматизация бухгалтерского и налогового учета
process_3	18	3	Прочее по участку автоматизация бухгалтерского и налогового учета
process_3	19	4	Осуществление платежей
process_3	20	4	Обработка банковской выписки
process_3	21	4	Прочие операции по участку Осуществление платежей, учет банковских операций, прочие казначейские операции
process_3	22	5	Учет прихода/расхода денежных средств и ценностей в кассе
process_3	23	5	Учет поступления/выдачи денежных документов и бланков строгой отчетности
process_3	24	5	Прочие операции по участку (указать какие в поле комментарии)
process_3	25	6	Учет затрат
process_3	26	6	Формирование себестоимости
process_3	27	6	Учет готовой продукции, НЗП, полуфабрикатов (МПЗ)
process_3	28	6	Прочее по участку затраты и формирование себестоимости продукции (работ, услуг)
process_3	29	7	Учет затрат
process_3	30	7	Формирование себестоимости
process_3	31	7	Прочее по участку затраты при осуществлении торговой деятельности
process_3	32	8	Учет движения капитала
process_3	33	8	Учет нераспределенной прибыли
process_3	34	8	Учет дивидендов
process_3	35	9	Учет заработной платы (в т.ч. ГПХ)
process_3	36	9	Учет выплат социального характера
process_3	37	9	Учет НДФЛ и страховых взносов, в т.ч. с не работниками
process_3	38	9	Прочие расчеты с персоналом
process_3	39	9	Формирование справок (указать перечень в поле комментарии)
process_3	40	9	Прочее по участку расчеты с персоналом
process_3	41	10	Учет вкладов в уставный капитал и ценных бумаг
process_3	42	10	Учет прочих финансовых вложений
process_3	43	10	Учет корректировки стоимости финансовых вложений
process_3	44	10	Учет кредитов и займов полученный
process_3	45	10	Учет кредитов и займов выданных
process_3	46	10	Учёт обеспечения обязательств полученных/выданных (гарантии, поручительства, залог и пр.) (забалансовые счета)
process_3	47	10	Прочее по участку учет финансовых вложений, кредитов и займов
process_3	48	11	Учет приобретения ОС, НМА
process_3	49	11	Учет амортизации объектов ОС и НМА
process_3	50	11	Прочее по участку Учет КВ, ОС и НМА
process_3	51	11	Учет КВ (включая приобретение, формирование стоимости)
process_3	52	11	Учет ввода объектов ОС в эксплуатацию
process_3	53	11	Учет списания (выбытия, ликвидации и пр.) ОС, КВ и НМА
process_3	54	16	Учет резерва по обесценению финансовых вложений
process_3	55	11	Учет перемещения и изменения категории объектов ОС и НМА (модернизация, реконструкция и др.)
process_3	56	11	Учет ОС, оборудования, полученных/переданных в аренду/лизинг
process_3	57	11	Учет ремонтов ОС
process_3	58	11	Учет оборудования к установке
process_3	59	11	Учет НИОКР и ТР
process_3	60	12	Учет поступления МПЗ
process_3	61	12	Учет списания (выбытия) МПЗ
process_3	62	12	Учет передачи спецодежды, инвентаря и СИЗ в эксплуатацию
process_3	63	12	Учет перемещения, возврата спецодежды из эксплуатации
process_3	64	12	Учет внутреннего перемещения МПЗ
process_3	65	12	Учет МПЗ на забалансовых счетах
process_3	66	12	Прочее по участку Запасы
process_3	67	13	Написание и обновление Формирование и актуализация методологических документов по бухгалтерскому и налоговому учету
process_3	68	13	Подготовка данных, форм, отчетов по регулярным запросам (отчетность Эмитента, по форме Ф.20 и др.)
process_3	69	13	Взаимодействие с аудиторами
process_3	70	13	Подготовка документов по запросам (копирование/сканирование документов)
process_3	71	13	Обучение, изучение нормативных актов, посещение семинаров, повышение квалификации
process_3	72	13	Регистрация входящих первичных документов
process_3	73	13	Контроль наличия оригиналов первичных документов, замена копий на оригиналы
process_3	74	13	Инвентаризация, архивирование документов
process_3	75	13	Реструктуризация (ОС, Запасы, НЗ)
process_3	76	13	Методологическая поддержка и консультирование предприятий по бухгалтерскому и налоговому учету
process_3	77	13	Согласование договоров
process_3	78	13	Написание приказов/распоряжений
process_3	79	13	Согласование приказов/распоряжений
process_3	80	13	Подписание, визирование документов
process_3	81	13	Участие в совещаниях
process_3	82	13	Выдача доверенности и заключение договоров о материальной ответственности
process_3	83	13	Обработка поступающей информации (запросы, задания, разъяснения и пр.)
process_3	84	14	Учет прочих доходов
process_3	85	14	Учет прочих расходов
process_3	86	14	Прочие операции (указать какие в поле комментарии)
process_3	87	15	Сверка по операциям ВГО
process_3	88	15	Подготовка трансформационных таблиц для целей МСФО
process_3	89	15	Подготовка форм статистической отчетности
process_3	90	15	Предоставление отчетности в контролирующие органы
process_3	91	15	Прочее по участку закрытие периода и формирование отчетности
process_3	92	15	Расчет курсовых разниц
process_3	93	15	Осуществление процедур внутреннего контроля
process_3	94	15	Контроль полноты и корректности отражения внутрихозяйственных операций в целом по Организации по всем счетам
process_3	95	15	Осуществление процедур мониторинга и реформации счетов учета с целью закрытия регистров для подготовки отчетности
process_3	96	15	Подготовка форм ежемесячной бухгалтерской отчетности
process_3	97	15	Подготовка форм ежеквартальной бухгалтерской отчетности
process_3	98	15	Подготовка форм бухгалтерской отчетности (годовая)
process_3	99	15	Подготовка расшифровок строк отчетности и иных расшифровок по данным бухгалтерских регистров
process_3	100	16	Учет резерва по обесценению МПЗ
process_3	101	16	Учет резерва сомнительной задолженности
process_3	102	16	Учет резерва по социальным обязательствам
process_3	103	13	Участие в судебных разбирательствах
process_3	104	16	Учет резерва под обесценение ОС, оборудования и незавершенного строительства
process_3	105	16	Оценочное обязательство на оплату отпусков
process_3	106	16	Оценочное налоговое обязательство
process_3	107	16	Оценочное обязательство по судебным искам
process_3	108	16	Учет прочих оценочных обязательств
process_3	109	17	Учет инвентаризации КВ, ОС и НМА
process_3	110	17	Учет инвентаризации МПЗ
process_3	111	17	Инвентаризация кредиторской задолженности
process_3	112	17	Инвентаризация дебиторской задолженности
process_3	113	17	Учет инвентаризации прочих счетов
process_3	114	17	Учет инвентаризации денежных средств и других ценностей в кассе
process_3	115	17	Проведение сверки с дебиторами и кредиторами
process_3	116	18	Учет затрат
process_3	117	18	Формирование себестоимости
process_3	118	18	Прочее по участку затраты обслуживающих производств и хозяйств
process_3	119	19	Учет НДС
process_3	120	19	Управление налоговыми рисками
process_3	121	19	Взаимодействие с контролирующими органами и сопровождение проверок
process_3	122	19	Прочее по участку налоговый учет
process_3	123	19	Учет налога на прибыль
process_3	124	19	Учет налога на имущество
process_3	125	19	Учет транспортного налога
process_3	126	19	Учет земельного налога
process_3	127	19	Учет НДПИ
process_3	128	19	Учет трансфертного ценообразования
process_3	129	19	Консолидированная группа налогоплательщиков (КГН) для всех участников
process_3	130	19	Учет прочих налогов
process_3	131	20	Обработка заявок на выдачу денежных средств подотчетному лицу
process_3	132	20	Обработка авансового отчета
process_3	133	20	Прочее по участку расчеты с подотчетными лицами
process_3	134	21	Законодательная отчетность
